City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Erdenet,MN,49.03,104.08,47.57,86,1,3.18,clear sky
330,Iisalmi,FI,63.56,27.19,68.0,56,21,8.05,few clouds
331,Batemans Bay,AU,-35.72,150.18,32.0,87,0,1.99,clear sky
332,Hamilton,US,39.18,-84.53,84.0,69,40,4.81,scattered clouds
333,Salalah,OM,17.02,54.09,77.0,100,90,5.82,overcast clouds
334,Santo Antonio De Padua,BR,-21.54,-42.18,71.91,53,61,4.12,broken clouds
335,Spokane,US,47.62,-117.37,68.0,48,1,2.04,clear sky
336,Tyukhtet,RU,56.54,89.3,53.58,95,97,6.08,overcast clouds
337,Yumen,CN,40.28,97.2,71.1,23,0,8.46,clear sky
338,Olafsvik,IS,64.89,-23.71,52.39,64,33,7.58,scattered clouds
339,Prince Rupert,CA,54.32,-130.32,57.2,87,90,6.93,overcast clouds
340,Svobodnyy,RU,51.4,128.13,61.59,96,100,3.74,moderate rain
341,Colwyn Bay,GB,53.29,-3.73,64.99,79,44,8.99,light rain
342,Nansio,TZ,-2.13,33.05,77.0,57,3,9.48,clear sky
343,Yushu,CN,44.8,126.53,64.87,89,100,7.23,overcast clouds
344,Vagur,FO,61.47,-6.81,50.7,78,42,14.85,scattered clouds
345,Coihaique,CL,-45.58,-72.07,39.2,86,90,6.93,light rain
346,Perth,AU,-31.93,115.83,52.0,93,94,3.36,overcast clouds
347,Stockbridge,US,33.54,-84.23,82.4,69,40,4.7,scattered clouds
348,Rio Gallegos,AR,-51.62,-69.22,42.8,41,20,21.92,few clouds
349,Santa Vitoria Do Palmar,BR,-33.52,-53.37,62.6,55,0,10.22,clear sky
350,Najran,SA,17.49,44.13,96.8,16,100,6.93,overcast clouds
351,Cairns,AU,-16.92,145.77,55.4,87,78,5.55,broken clouds
352,Kiunga,PG,-6.12,141.29,72.0,98,100,3.31,overcast clouds
353,Acapulco,MX,16.86,-99.89,82.4,83,75,3.36,broken clouds
354,Beihai,CN,21.48,109.1,84.02,78,0,10.13,clear sky
355,Arlit,NE,18.74,7.39,101.03,24,74,8.81,broken clouds
356,Qaqortoq,GL,60.72,-46.03,55.4,62,0,9.17,clear sky
357,Kenai,US,60.55,-151.26,57.2,82,75,3.36,broken clouds
358,Algiers,DZ,36.75,3.04,86.0,70,20,18.34,few clouds
359,Portland,US,45.52,-122.68,68.0,67,20,5.82,few clouds
360,Mareeba,AU,-17.0,145.43,55.4,87,77,2.01,broken clouds
361,Yuncheng,CN,35.02,110.99,71.82,90,100,14.0,moderate rain
362,Mehamn,NO,71.04,27.85,66.2,72,63,10.29,broken clouds
